Meeting Date,G ID,Grp,State,Club,Venue,Seasonal Race Name (2022/23),Dist,Prizemoney $$$     ,Age,Sex,,Registered Race Name
6-Aug-22,362,2,NSW,ATC,RAND,MISSILE STAKES,1200,"250,000",3YO&Up,O,SWP,MISSILE STAKES
6-Aug-22,693,3,VIC,VRC,FLEM,AURIE'S STAR HANDICAP,1200,"200,000",O,O,Hcp,AURIE'S STAR HANDICAP
13-Aug-22,472,3,SA,SAJC,MORP,SPRING STAKES,1200,"127,250",O,O,WFA,SPRING STAKES
13-Aug-22,137,4,WA,WATC,BLMT,BELMONT NEWMARKET,1200,"125,000",3YO&Up,O,Qlty,BELMONT NEWMARKET
13-Aug-22,726,4,NSW,ATC,RHIL,THE ROSEBUD,1100,"160,000",3-Y-O,O,Qlty,THE ROSEBUD
13-Aug-22,335,2,VIC,MRC,CAUL,P.B. LAWRENCE STAKES,1400,"300,000",3YO&Up,O,WFA,P. B. LAWRENCE STAKES
13-Aug-22,613,3,VIC,MRC,CAUL,QUEZETTE STAKES,1100,"200,000",3-Y-O,F,SWP,QUEZETTE STAKES
13-Aug-22,604,3,VIC,MRC,CAUL,VAIN STAKES,1100,"200,000",3-Y-O,C&G,SWP,VAIN STAKES
13-Aug-22,727,4,VIC,MRC,CAUL,REGAL ROLLER STAKES,1200,"175,000",3YO&Up,O,Hcp,REGAL ROLLER STAKES
18-Aug-22,716,4,NSW,HAWK,HAWK,ROWLEY MILE,1600,"185,000",3YO&Up,O,Hcp,ROWLEY MILE
20-Aug-22,534,1,NSW,ATC,RAND,WINX STAKES,1400,"750,000",3YO&Up,O,WFA,WARWICK STAKES
20-Aug-22,460,2,NSW,ATC,RAND,SILVER SHADOW STAKES,1200,"250,000",3-Y-O,F,SWP,SILVER SHADOW STAKES
20-Aug-22,611,3,NSW,ATC,RAND,SHOW COUNTY QUALITY HCP,1200,"200,000",3YO&Up,O,Qlty,SHOW COUNTY QUALITY
20-Aug-22,626,3,NSW,ATC,RAND,TOY SHOW F-&-M QLTY HCP,1100,"200,000",3YO&Up,F&M,Qlty,TOY SHOW QUALITY
20-Aug-22,434,3,NSW,ATC,RAND,PREMIER'S CUP,2000,"200,000",3YO&Up,O,Qlty,PREMIER'S CUP
20-Aug-22,741,4,VIC,MVRC,THE VALLEY,CARLYON STAKES,1000,"175,000",4YO&Up,O,SWP,SPRING PREVIEW
20-Aug-22,612,4,VIC,MVRC,THE VALLEY,MITCHELL MCKENZIE STAKES,1200,"175,000",3-Y-O,C&G,SWP,MITCHELL MCKENZIE STAKES
27-Aug-22,249,4,SA,SAJC,MORPP,LEON MACDONALD STAKES,1400,"107,250",O,O,WFA,PENNY EDITION STAKES
27-Aug-22,591,4,WA,WATC,BLMT,IDYLLIC PRINCE STAKES,1300,"125,000",3YO&Up,O,WFA,WATC GOODWOOD SPRINT
27-Aug-22,523,3,NSW,ATC,RHIL,UP AND COMING STAKES,1300,"200,000",3-Y-O,O,Qlty,UP AND COMING STAKES
27-Aug-22,446,3,NSW,ATC,RHIL,SAN DOMENICO STAKES,1100,"200,000",3-Y-O,O,SWP,SAN DOMENICO STAKES
