,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Meeting Date,G ID,Grp,State,Club,Venue,Seasonal Race Name (2023/24),Dist,Prizemoney $$$     ,Age,Sex,,Registered Race Name,,,
5-Aug-23,362,G2,NSW,ATC,RAND,MISSILE STAKES,"1,200","300,000",3YO&Up,O,SWP,MISSILE STAKES,,,
5-Aug-23,693,G3,VIC,VRC,FLEM,AURIE'S STAR HANDICAP,"1,200","201,300",O,O,Hcp,AURIE'S STAR HANDICAP,,,
12-Aug-23,726,L,NSW,ATC,RHIL,THE ROSEBUD,"1,100","200,000",3-Y-O,O,Qlty,THE ROSEBUD,,,
12-Aug-23,472,G3,SA,SAJC,MORP,BEHEMOTH STAKES,"1,200","150,000",O,O,WFA,SPRING STAKES,,,
12-Aug-23,137,L,WA,WATC,BLMT,BELMONT NEWMARKET,"1,200","125,000",3YO&Up,O,Qlty,BELMONT NEWMARKET,,,
17-Aug-23,716,L,NSW,HAWKESBURY RC,HAWK,ROWLEY MILE,"1,600","200,000",3YO&Up,O,Hcp,ROWLEY MILE,,,
19-Aug-23,434,G3,NSW,ATC,RAND,PREMIER'S CUP,"2,000","250,000",3YO&Up,O,Qlty,PREMIER'S CUP,,,
19-Aug-23,460,G2,NSW,ATC,RAND,SILVER SHADOW STAKES,"1,200","300,000",3-Y-O,F,SWP,SILVER SHADOW STAKES,,,
19-Aug-23,534,G1,NSW,ATC,RAND,WINX STAKES,"1,400","1,000,000",3YO&Up,O,WFA,WINX STAKES,,,
19-Aug-23,611,G3,NSW,ATC,RAND,SHOW COUNTY QUALITY HCP,"1,200","250,000",3YO&Up,O,Qlty,SHOW COUNTY QUALITY,,,
19-Aug-23,626,G3,NSW,ATC,RAND,TOY SHOW QUALITY HCP,"1,100","250,000",3YO&Up,F&M,Qlty,TOY SHOW QUALITY,,,
19-Aug-23,335,G2,VIC,MRC,CAUL,P.B. LAWRENCE STAKES,"1,400","300,000",3YO&Up,O,WFA,P. B. LAWRENCE STAKES,,,
19-Aug-23,613,G3,VIC,MRC,CAUL,QUEZETTE STAKES,"1,100","200,000",3-Y-O,F,SWP,QUEZETTE STAKES,,,
19-Aug-23,604,G3,VIC,MRC,CAUL,VAIN STAKES,"1,100","200,000",3-Y-O,C&G,SWP,VAIN STAKES,,,
19-Aug-23,727,L,VIC,MRC,CAUL,REGAL ROLLER STAKES,"1,200","175,000",3YO&Up,O,Hcp,REGAL ROLLER STAKES,,,
26-Aug-23,446,G3,NSW,ATC,RHIL,SAN DOMENICO STAKES,"1,100","250,000",3-Y-O,O,SWP,SAN DOMENICO STAKES,,,
26-Aug-23,523,G3,NSW,ATC,RHIL,UP AND COMING STAKES,"1,300","250,000",3-Y-O,O,Qlty,UP AND COMING STAKES,,,
26-Aug-23,741,L,VIC,MVRC,THE VALLEY,CARLYON STAKES,"1,000","175,000",4YO&Up,O,SWP,SPRING PREVIEW,,,
26-Aug-23,249,L,SA,SAJC,MORPP,LEON MACDONALD STAKES,"1,400","120,000",O,O,WFA,PENNY EDITION STAKES,,,
26-Aug-23,591,L,WA,WATC,BLMT,IDYLLIC PRINCE STAKES,"1,300","125,000",3YO&Up,O,WFA,WATC GOODWOOD SPRINT,,,
1-Sep-23,595,L,NSW,WYONG RC,WYNG,WYONG GOLD CUP,"2,100","240,000",O,O,Qlty,WYONG GOLD CUP,,,
1-Sep-23,671,L,NSW,WYONG RC,WYNG,MONA LISA STAKES,"1,350","200,000",O,F&M,SWP,MONA LISA STAKES,,,
2-Sep-23,192,G2,NSW,ATC,RAND,CHELMSFORD STAKES,"1,600","300,000",3YO&Up,O,WFA,CHELMSFORD STAKES,,,
