DATE,R ID,Grp,Grp,State,Club,Venue,PRA Seasonal Race Name ,Dist., Prizemoney ,Age,Sex,Wgt,Registered Race Name
03-Aug-24,693,3,G3,VIC,VRC,FLEM,AURIE'S STAR HANDICAP,1200," $201,300 ",O,O,Hcp,AURIE'S STAR HANDICAP
10-Aug-24,362,2,G2,NSW,ATC,RAND,MISSILE STAKES,1200," $300,000 ",3YO&Up,O,SWP,MISSILE STAKES
10-Aug-24,472,3,G3,SA,SAJC,MORP,BEHEMOTH STAKES,1200," $150,000 ",O,O,WFA,SPRING STAKES
10-Aug-24,137,4,L,WA,WATC,BLMT,BELMONT NEWMARKET,1200," $125,000 ",3YO&Up,O,Qlty,BELMONT NEWMARKET
17-Aug-24,726,4,L,NSW,ATC,RHIL,THE ROSEBUD,1100," $200,000 ",3-Y-O,O,Qlty,THE ROSEBUD
17-Aug-24,335,2,G2,VIC,MRC,CAUL,P.B. LAWRENCE STAKES,1400," $300,000 ",3YO&Up,O,WFA,P. B. LAWRENCE STAKES
17-Aug-24,727,4,L,VIC,MRC,CAUL,REGAL ROLLER STAKES,1200," $175,000 ",4YO&Up,O,Hcp,REGAL ROLLER STAKES
17-Aug-24,613,3,G3,VIC,MRC,CAUL,QUEZETTE STAKES,1100," $200,000 ",3-Y-O,F,SWP,QUEZETTE STAKES
17-Aug-24,604,3,G3,VIC,MRC,CAUL,VAIN STAKES,1100," $200,000 ",3-Y-O,C&G,SWP,VAIN STAKES
22-Aug-24,716,4,L,NSW,HAWKESBURY RC,HAWK,ROWLEY MILE,1600," $200,000 ",3YO&Up,O,Hcp,ROWLEY MILE
24-Aug-24,534,1,G1,NSW,ATC,RAND,WINX STAKES,1400," $1,000,000 ",3YO&Up,O,WFA,WINX STAKES
24-Aug-24,460,2,G2,NSW,ATC,RAND,SILVER SHADOW STAKES,1200," $300,000 ",3-Y-O,F,SWP,SILVER SHADOW STAKES
24-Aug-24,434,3,G3,NSW,ATC,RAND,PREMIER'S CUP,2000," $250,000 ",3YO&Up,O,Qlty,PREMIER'S CUP
24-Aug-24,611,3,G3,NSW,ATC,RAND,SHOW COUNTY QUALITY HCP,1200," $250,000 ",3YO&Up,O,Qlty,SHOW COUNTY QUALITY
24-Aug-24,626,3,G3,NSW,ATC,RAND,TOY SHOW QUALITY HCP,1100," $250,000 ",3YO&Up,F&M,Qlty,TOY SHOW QUALITY
24-Aug-24,741,4,L,VIC,MVRC,THE VALLEY,CARLYON STAKES,1000," $175,000 ",3YO&Up,O,SWP,SPRING PREVIEW
24-Aug-24,249,4,L,SA,SAJC,MORPP,LEON MACDONALD STAKES,1400," $120,000 ",O,O,WFA,LEON MACDONALD STAKES
24-Aug-24,591,4,L,WA,WATC,BLMT,IDYLLIC PRINCE STAKES,1300," $125,000 ",3YO&Up,O,WFA,WATC GOODWOOD SPRINT
31-Aug-24,446,3,G3,NSW,ATC,RHIL,SAN DOMENICO STAKES,1100," $250,000 ",3-Y-O,O,SWP,SAN DOMENICO STAKES
31-Aug-24,523,3,G3,NSW,ATC,RHIL,UP AND COMING STAKES,1300," $250,000 ",3-Y-O,O,Qlty,UP AND COMING STAKES
31-Aug-24,353,1,G1,VIC,MRC,CAUL,MEMSIE STAKES,1400," $752,000 ",3YO&Up,O,WFA,MEMSIE STAKES
31-Aug-24,694,3,G3,VIC,MRC,CAUL,THE HEATH 1100 STAKES,1100," $200,990 ",4YO&Up,O,SWP,THE HEATH 1100
31-Aug-24,605,3,G3,VIC,MRC,CAUL,COCKRAM STAKES,1200," $200,990 ",4YO&Up,M,SWP,W W COCKRAM STAKES
31-Aug-24,301,4,L,VIC,MRC,CAUL,TILE IMPORTER HEATHERLIE STAKES,1700," $175,750 ",O,O,Hcp,HEATHERLIE HANDICAP
31-Aug-24,597,3,G3,VIC,MRC,CAUL,H.D.F. MCNEIL STAKES,1200," $200,990 ",3-Y-O,O,SWP,H.D.F. McNEIL STAKES
01-Sep-24,671,4,L,NSW,WYONG RC,WYNG,MONA LISA STAKES,1350," $200,000 ",3YO&Up,F&M,SWP,MONA LISA STAKES
06-Sep-24,595,4,L,NSW,WYONG RC,WYNG,WYONG GOLD CUP ,2100," $250,000 ",3YO&Up,O,Qlty,WYONG GOLD CUP
07-Sep-24,192,2,G2,NSW,ATC,RAND,CHELMSFORD STAKES,1600," $300,000 ",3YO&Up,O,WFA,CHELMSFORD STAKES
