Race name,Group,Stakes[a],Age,Sex,Weight,Distance[b],Racecourse,State,Date,Winner,,YOB,DAM,SIRE,SALE,PRICE,VENDOR
Brisbane Cup[90][91],2,"$400,000",3YO+,Open,qlty,2400,Eagle Farm,QLD,14/06/2025,Campaldino,,,,,,,
Dane Ripper Stakes[159][160],2,"$300,000",Open,F&M,sw+p,1400,Eagle Farm,QLD,14/06/2025,Floozie,,,,,,,
Gunsynd Classic[241][242],3,"$200,000",3YO,Open,sw,1600,Eagle Farm,QLD,14/06/2025,Just Feelin' Lucky,,,,,,,
J.J. Atkins[271][272],1,"$1,000,000",2YO,Open,sw,1600,Eagle Farm,QLD,14/06/2025,Cool Archie,,,,,,,
The Q22 (P J O'Shea Stakes)[376][377],2,"$1,200,000",3YO+,Open,wfa,2200,Eagle Farm,QLD,14/06/2025,Kovalica,,,,,,,
Stradbroke Handicap[498][499],1,"$3,000,000",Open,Open,qlty,1400,Eagle Farm,QLD,14/06/2025,War Machine,,,,,,,
Strickland Stakes[500][501],3,"$200,000",3YO+,Open,wfa,2000,Belmont,WA,21/06/2025,Admiration Express,,,,,,,
Sandown Stakes[444][445],3,"$200,000",Open,Open,qlty,1500,Sandown,VIC,25/06/2025,Evaporate,,,,,,,
Tattersall's Cup[523][524],3,"$200,000",Open,Open,qlty,3000,Eagle Farm,QLD,28/06/2025,Manzoice,,,,,,,
Tattersall's Tiara[525][526],1,"$700,000",3YO+,F&M,wfa,1400,Eagle Farm,QLD,28/06/2025,Tashi,,,,,,,
W J Healy Stakes[598][599],3,"$200,000",Open,Open,qlty,1200,Eagle Farm,QLD,28/06/2025,Metalart,,,,,,,
Winx Guineas (Sunshine Coast Guineas)[509][510],3,"$125,000",3YO,Open,sw,1600,Corbould Park,QLD,5/07/2025,The Three Hundred,,,,,,,
Sir John Monash Stakes[470][471],3,"$200,000",Open,Open,wfa,1100,Caulfield,VIC,12/07/2025,In Flight,,,,,,,
Sires' Produce Stakes (SAJC)[476][477],3,"$150,000",2YO,Open,sw,1400,Morphettville,SA,19/07/2025,Ethereum Girl,,,,,,,
Bletchingly Stakes[68][69],3,"$200,000",Open,Open,wfa,1200,Caulfield,VIC,26/07/2025,Bridal Waltz,,,,,,,
Aurie's Star Handicap[39][40],3,"$200,000",Open,Open,hcp,1200,Flemington,VIC,2/08/2025,King Of Roseau,,,,,,,
Behemoth Stakes (David R Coles AM Spring Stakes)[165][166],3,"$150,000",Open,Open,wfa,1200,Morphettville,SA,9/08/2025,Queman,,,,,,,
Missile Stakes[344][345],2,"$300,000",3YO+,Open,sw+p,1200,Randwick,NSW,10/08/2025,Race abandoned (2024: Schwarz),,,,,,,
P B Lawrence Stakes[372][373],2,"$300,000",3YO+,Open,wfa,1400,Caulfield,VIC,16/08/2025,Private Eye,,,,,,,
Quezette Stakes[407][408],3,"$200,000",3YO,Fillies,sw+p,1100,Caulfield,VIC,16/08/2025,Ferivia,,,,,,,
Vain Stakes[578][579],3,"$200,000",3YO,C&G,sw+p,1100,Caulfield,VIC,16/08/2025,Jimmy Recard,,,,,,,
Premier's Cup (ATC)[388][389],3,"$250,000",3YO+,Open,qlty,1900,Randwick,NSW,23/08/2025,Nellie Leylax,,,,,,,
Show County Quality Handicap[463][464],3,"$250,000",3YO+,Open,qlty,1200,Randwick,NSW,23/08/2025,Lazzura,,,,,,,
Silver Shadow Stakes[466][467],2,"$300,000",3YO,Fillies,sw+p,1200,Randwick,NSW,23/08/2025,Savvy Hallie,,,,,,,
Toy Show Quality Handicap[562][563],3,"$250,000",3YO+,F&M,qlty,1100,Randwick,NSW,23/08/2025,Autumn Glow,,,,,,,
Winx Stakes (Warwick Stakes)[623][624],1,"$1,000,000",3YO+,Open,wfa,1400,Randwick,NSW,23/08/2025,Via Sistina,,,,,,,
HDF McNeil Stakes[254][255],3,"$200,000",3YO,Open,sw+p,1200,Caulfield,VIC,30/08/2025,Tycoon Star,,,,,,,
Memsie Stakes[338][339],1,"$750,000",3YO+,Open,wfa,1400,Caulfield,VIC,30/08/2025,Treasurethe Moment,,,,,,,
San Domenico Stakes[440][441],3,"$250,000",3YO,Open,sw+p,1100,Rosehill,NSW,30/08/2025,Raging Force,,,,,,,
The Heath 1100[538][539],3,"$200,000",4YO+,Open,sw+p,1100,Caulfield,VIC,30/08/2025,Tropicus,,,,,,,
Up And Coming Stakes[576][577],3,"$250,000",3YO,Open,qlty,1300,Randwick,NSW,30/08/2025,Grand Prairie,,,,,,,
W W Cockram Stakes[602][603],3,"$200,000",4YO+,Mares,sw+p,1200,Caulfield,VIC,30/08/2025,Magic Time,,,,,,,
A J Moir Stakes[5][6],1,"$750,000",Open,Open,wfa,1000,Moonee Valley,VIC,6/09/2025,Baraqiel,,,,,,,
Chelmsford Stakes[135][136],2,"$300,000",3YO+,Open,wfa,1600,Randwick,NSW,6/09/2025,Lindermann,,,,,,,
Concorde Stakes[143][144],3,"$1,000,000",3YO+,Open,sw+p,1000,Randwick,NSW,6/09/2025,Headwall,,,,,,,
Furious Stakes[207][208],2,"$300,000",3YO,Fillies,sw,1200,Randwick,NSW,6/09/2025,Apocalyptic,,,,,,,
Tramway Stakes[564][565],2,"$300,000",3YO+,Open,sw+p,1400,Randwick,NSW,6/09/2025,Pericles,,,,,,,
Bobbie Lewis Quality[80][81],2,"$300,000",4YO+,Open,qlty,1200,Flemington,VIC,13/09/2025,Arkansaw Kid,,,,,,,
Let's Elope Stakes[302][303],2,"$300,000",4YO+,Mares,sw+p,1400,Flemington,VIC,13/09/2025,Lazzura,,,,,,,
Makybe Diva Stakes[322][323],1,"$750,000",3YO+,Open,wfa,1600,Flemington,VIC,13/09/2025,Mr Brightside,,,,,,,
Ming Dynasty Quality Handicap[342][343],3,"$250,000",3YO,Open,qlty,1400,Rosehill,NSW,13/09/2025,Sixties,,,,,,,
Sheraco Stakes[461][462],2,"$200,000",3YO+,F&M,sw+p,1200,Rosehill,NSW,13/09/2025,Manaal,,,,,,,
The Run To The Rose[542][543],2,"$300,000",3YO,Open,sw+p,1200,Rosehill,NSW,13/09/2025,Tempted,,,,,,,
Theo Marks Stakes[548][549],2,"$300,000",3YO+,Open,qlty,1300,Rosehill,NSW,13/09/2025,Autumn Glow,,,,,,,
Cameron Handicap[94][95],3,"$250,000",Open,Open,hcp,1500,Newcastle,NSW,19/09/2025,Headley Grange,,,,,,,
Tibbie Stakes[556][557],3,"$250,000",3YO+,F&M,sw+p,1400,Newcastle,NSW,19/09/2025,Oh Diamond Lil,,,,,,,
Bill Ritchie Handicap[59][60],3,"$250,000",3YO+,Open,qlty,1400,Randwick,NSW,20/09/2025,With Your Blessing,,,,,,,
Caulfield Guineas Prelude[114][115],3,"$300,000",3YO,C&G,sw+p,1400,Caulfield,VIC,20/09/2025,Estremo,,,,,,,
Kingston Town Stakes[295][296],3,"$250,000",3YO+,Open,sw+p,2000,Randwick,NSW,20/09/2025,Birdman,,,,,,,
Naturalism Stakes[355][356],3,"$200,000",Open,Open,qlty,2000,Caulfield,VIC,20/09/2025,Half Yours,,,,,,,
Sir Rupert Clarke Stakes[472][473],1,"$1,000,000",3YO+,Open,hcp,1400,Caulfield,VIC,20/09/2025,Sepals,,,,,,,
Tea Rose Stakes[527],2,"$300,000",3YO,Fillies,sw,1400,Randwick,NSW,20/09/2025,Apocalyptic,,,,,,,
The Shorts[544][545],2,"$500,000",3YO+,Open,sw+p,1100,Randwick,NSW,20/09/2025,Joliestar,,,,,,,
Underwood Stakes[574][575],1,"$1,050,000",3YO+,Open,wfa,1800,Caulfield,VIC,20/09/2025,Sir Delius,,,,,,,
JRA Cup,3,"$240,000",Open,Open,qlty,2040,Moonee Valley,VIC,25/09/2025,Star Of India,,,,,,,
Lexus Stakes[304][305],3,"$300,000",3YO+,Open,qlty,2500,Flemington,VIC,25/09/2025,Revelare,,,,,,,
