DATE,R ID,Grp,Grp,State,Club,Venue,PRA Seasonal Race Name ,Dist., Prizemoney ,Age,Sex,Wgt,Registered Race Name
3-Aug-24,693,3,G3,VIC,VRC,FLEM,AURIE'S STAR HANDICAP,1200,"$201,300",O,O,Hcp,AURIE'S STAR HANDICAP
10-Aug-24,362,2,G2,NSW,ATC,RAND,MISSILE STAKES,1200,"$300,000",3YO&Up,O,SWP,MISSILE STAKES
10-Aug-24,472,3,G3,SA,SAJC,MORP,BEHEMOTH STAKES,1200,"$150,000",O,O,WFA,SPRING STAKES
10-Aug-24,137,4,L,WA,WATC,BLMT,BELMONT NEWMARKET,1200,"$125,000",3YO&Up,O,Qlty,BELMONT NEWMARKET
17-Aug-24,726,4,L,NSW,ATC,RHIL,THE ROSEBUD,1100,"$200,000",3-Y-O,O,Qlty,THE ROSEBUD
17-Aug-24,335,2,G2,VIC,MRC,CAUL,P.B. LAWRENCE STAKES,1400,"$300,000",3YO&Up,O,WFA,P. B. LAWRENCE STAKES
17-Aug-24,727,4,L,VIC,MRC,CAUL,REGAL ROLLER STAKES,1200,"$175,000",4YO&Up,O,Hcp,REGAL ROLLER STAKES
17-Aug-24,613,3,G3,VIC,MRC,CAUL,QUEZETTE STAKES,1100,"$200,000",3-Y-O,F,SWP,QUEZETTE STAKES
17-Aug-24,604,3,G3,VIC,MRC,CAUL,VAIN STAKES,1100,"$200,000",3-Y-O,C&G,SWP,VAIN STAKES
22-Aug-24,716,4,L,NSW,HAWKESBURY RC,HAWK,ROWLEY MILE,1600,"$200,000",3YO&Up,O,Hcp,ROWLEY MILE
24-Aug-24,534,1,G1,NSW,ATC,RAND,WINX STAKES,1400,"$1,000,000",3YO&Up,O,WFA,WINX STAKES
24-Aug-24,460,2,G2,NSW,ATC,RAND,SILVER SHADOW STAKES,1200,"$300,000",3-Y-O,F,SWP,SILVER SHADOW STAKES
24-Aug-24,434,3,G3,NSW,ATC,RAND,PREMIER'S CUP,2000,"$250,000",3YO&Up,O,Qlty,PREMIER'S CUP
24-Aug-24,611,3,G3,NSW,ATC,RAND,SHOW COUNTY QUALITY HCP,1200,"$250,000",3YO&Up,O,Qlty,SHOW COUNTY QUALITY
24-Aug-24,626,3,G3,NSW,ATC,RAND,TOY SHOW QUALITY HCP,1100,"$250,000",3YO&Up,F&M,Qlty,TOY SHOW QUALITY
