Lot,Colour,Sex,Name,Vendor,Sire,Dam,Purchaser Name,Purchaser Location,Status,Price,Stable 1,Stable 2,Stable 3,Covering Stallion,Dam Sire,DOB,Bonus Schemes
1,B.,Filly,,"Vinery Stud, Scone",All Too Hard,Walk in the Park (NZ),R Clancy,QLD,Sold,"$23,000",Barn I,"Stables 17-22,26-35,46-54 & 62-64",,,Thorn Park,2017-11-10,
2,Br.,Colt,,"Fairview Park Stud, Grose Wold",Nicconi,Wall Street Vixen,Elite Thoroughbreds Pty Ltd,NSW,Sold,"$30,000",Barn I,"Stables 1-16 & 23,24",,,Manhattan Rain,2017-10-25,
3,Gr.,Colt,,"Alexia Fraser Bloodstock, Warwick, Qld",Valentia,War Attitude (USA),Aussie Horse Club Pty Ltd,QLD,Sold,"$40,000",Barn G,"Stables 9,10",,,El Prado,2017-10-25,
4,B.,Colt,,"Vinery Stud, Scone",Headwater,Warm Charge,,,Withdrawn,,Barn I,"Stables 17-22,26-35,46-54 & 62-64",,,Commands,2017-08-30,
5,B.,Filly,,"Middlebrook Valley Lodge, Scone",Press Statement,Waveline (USA),Boomer Bloodstock (FBAA) / Aston Bloodstock,NSW,Sold,"$50,000",Barn E,Stables 45-64,,,Stravinsky,2017-11-16,
6,B. or Br.,Colt,,"Bhima Thoroughbreds, Scone",Hinchinbrook,Waytoohigh,Orbis Bloodstock Pty Ltd,VIC,Sold,"$80,000",Barn E,Stables 17-21 & 27-40,,,High Chaparral,2017-09-15,
7,B.,Filly,,"Bhima Thoroughbreds, Scone",Foxwedge,Well Hidden (USA),E Hirsch,VIC,Sold,"$20,000",Barn E,Stables 17-21 & 27-40,,,More Than Ready,2017-11-01,
8,Br.,Filly,,"Arrowfield Stud, Scone",Panzer Division,West Love,D Esposito,NSW,Sold,"$8,000","Big Barn,  Barn B",Stables 49-72,,,Zedrich,2017-09-24,
9,Ch.,Filly,,"Neila Thoroughbreds, Cowra",Shooting to Win,Where's Paradise,,,"Passed In - Reserve: $40,000",,Barn F,Stable 39,,,Exceed and Excel,2017-10-28,
10,B.,Colt,,"Eureka Stud, Cambooya, Qld",Spirit of Boom,Which Vault,,,"Passed In - Reserve: $60,000",,Barn H,Stables 41-43 & 49-62,,,Break the Vault,2017-10-12,
